position,opponents,sizing_pct,board,expected_profit_pct_of_pot,recommendation
BB,3,75%,Dry,0.5014,C-BET — strong spot
HJ,3,75%,Dry,0.5007,C-BET — strong spot
SB,3,75%,Dry,0.499,C-BET — strong spot
CO,3,75%,Dry,0.4983,C-BET — strong spot
UTG,3,75%,Dry,0.4966,C-BET — strong spot
BTN,3,75%,Dry,0.4958,C-BET — strong spot
MP,3,75%,Dry,0.4917,C-BET — strong spot
BB,3,75%,Medium,0.4791,C-BET — strong spot
HJ,3,75%,Medium,0.4784,C-BET — strong spot
SB,3,75%,Medium,0.4767,C-BET — strong spot
CO,3,75%,Medium,0.476,C-BET — strong spot
UTG,3,75%,Medium,0.4742,C-BET — strong spot
BTN,3,75%,Medium,0.4735,C-BET — strong spot
MP,3,75%,Medium,0.4693,C-BET — strong spot
BB,3,75%,Wet,0.4414,C-BET — strong spot
HJ,3,75%,Wet,0.4407,C-BET — strong spot
SB,3,75%,Wet,0.439,C-BET — strong spot
CO,3,75%,Wet,0.4383,C-BET — strong spot
UTG,3,75%,Wet,0.4366,C-BET — strong spot
BTN,3,75%,Wet,0.4358,C-BET — strong spot
MP,3,75%,Wet,0.4317,C-BET — strong spot
BB,3,50%,Dry,0.4252,C-BET — strong spot
HJ,3,50%,Dry,0.4245,C-BET — strong spot
SB,3,50%,Dry,0.4228,C-BET — strong spot
CO,3,50%,Dry,0.422,C-BET — strong spot
UTG,3,50%,Dry,0.4203,C-BET — strong spot
BTN,3,50%,Dry,0.4196,C-BET — strong spot
MP,3,50%,Dry,0.4154,C-BET — strong spot
BB,3,50%,Medium,0.4029,C-BET — strong spot
HJ,3,50%,Medium,0.4022,C-BET — strong spot
SB,3,50%,Medium,0.4004,C-BET — strong spot
CO,3,50%,Medium,0.3997,C-BET — strong spot
UTG,3,50%,Medium,0.398,C-BET — strong spot
BTN,3,50%,Medium,0.3973,C-BET — strong spot
MP,3,50%,Medium,0.3931,C-BET — strong spot
BB,3,33%,Dry,0.3733,C-BET — strong spot
HJ,3,33%,Dry,0.3726,C-BET — strong spot
BB,2,75%,Dry,0.371,C-BET — strong spot
SB,3,33%,Dry,0.3709,C-BET — strong spot
HJ,2,75%,Dry,0.3703,C-BET — strong spot
CO,3,33%,Dry,0.3702,C-BET — strong spot
SB,2,75%,Dry,0.3685,C-BET — strong spot
UTG,3,33%,Dry,0.3685,C-BET — strong spot
CO,2,75%,Dry,0.3678,C-BET — strong spot
BTN,3,33%,Dry,0.3677,C-BET — strong spot
UTG,2,75%,Dry,0.3661,C-BET — strong spot
BTN,2,75%,Dry,0.3654,C-BET — strong spot
BB,3,50%,Wet,0.3652,C-BET — strong spot
HJ,3,50%,Wet,0.3645,C-BET — strong spot
MP,3,33%,Dry,0.3636,C-BET — strong spot
SB,3,50%,Wet,0.3627,C-BET — strong spot
CO,3,50%,Wet,0.362,C-BET — strong spot
MP,2,75%,Dry,0.3612,C-BET — strong spot
UTG,3,50%,Wet,0.3603,C-BET — strong spot
BTN,3,50%,Wet,0.3596,C-BET — strong spot
MP,3,50%,Wet,0.3554,C-BET — strong spot
BB,3,33%,Medium,0.351,C-BET — strong spot
HJ,3,33%,Medium,0.3503,C-BET — strong spot
BB,2,75%,Medium,0.3487,C-BET — strong spot
SB,3,33%,Medium,0.3486,C-BET — strong spot
HJ,2,75%,Medium,0.3479,C-BET — strong spot
CO,3,33%,Medium,0.3479,C-BET — strong spot
SB,2,75%,Medium,0.3462,C-BET — strong spot
UTG,3,33%,Medium,0.3461,C-BET — strong spot
CO,2,75%,Medium,0.3455,C-BET — strong spot
BTN,3,33%,Medium,0.3454,C-BET — strong spot
BB,1,75%,Dry,0.3452,C-BET — strong spot
HJ,1,75%,Dry,0.3445,C-BET — strong spot
UTG,2,75%,Medium,0.3438,C-BET — strong spot
BTN,2,75%,Medium,0.3431,C-BET — strong spot
SB,1,75%,Dry,0.3427,C-BET — strong spot
CO,1,75%,Dry,0.342,C-BET — strong spot
MP,3,33%,Medium,0.3413,C-BET — strong spot
UTG,1,75%,Dry,0.3403,C-BET — strong spot
BTN,1,75%,Dry,0.3396,C-BET — strong spot
MP,2,75%,Medium,0.3389,C-BET — strong spot
MP,1,75%,Dry,0.3354,C-BET — strong spot
BB,1,75%,Medium,0.3229,C-BET — strong spot
HJ,1,75%,Medium,0.3221,C-BET — strong spot
SB,1,75%,Medium,0.3204,C-BET — strong spot
CO,1,75%,Medium,0.3197,C-BET — strong spot
UTG,1,75%,Medium,0.318,C-BET — strong spot
BTN,1,75%,Medium,0.3173,C-BET — strong spot
BB,3,33%,Wet,0.3133,C-BET — strong spot
MP,1,75%,Medium,0.3131,C-BET — strong spot
HJ,3,33%,Wet,0.3126,C-BET — strong spot
BB,2,75%,Wet,0.311,C-BET — strong spot
SB,3,33%,Wet,0.3109,C-BET — strong spot
HJ,2,75%,Wet,0.3103,C-BET — strong spot
CO,3,33%,Wet,0.3102,C-BET — strong spot
UTG,3,33%,Wet,0.3085,C-BET — strong spot
SB,2,75%,Wet,0.3085,C-BET — strong spot
CO,2,75%,Wet,0.3078,C-BET — strong spot
BTN,3,33%,Wet,0.3077,C-BET — strong spot
UTG,2,75%,Wet,0.3061,C-BET — strong spot
BTN,2,75%,Wet,0.3054,C-BET — strong spot
MP,3,33%,Wet,0.3036,C-BET — strong spot
MP,2,75%,Wet,0.3012,C-BET — strong spot
BB,2,50%,Dry,0.2947,C-BET — strong spot
HJ,2,50%,Dry,0.294,C-BET — strong spot
SB,2,50%,Dry,0.2923,C-BET — strong spot
CO,2,50%,Dry,0.2916,C-BET — strong spot
UTG,2,50%,Dry,0.2899,C-BET — strong spot
BTN,2,50%,Dry,0.2891,C-BET — strong spot
BB,1,75%,Wet,0.2852,C-BET — strong spot
MP,2,50%,Dry,0.285,C-BET — strong spot
HJ,1,75%,Wet,0.2845,C-BET — strong spot
SB,1,75%,Wet,0.2827,C-BET — strong spot
CO,1,75%,Wet,0.282,C-BET — strong spot
UTG,1,75%,Wet,0.2803,C-BET — strong spot
BTN,1,75%,Wet,0.2796,C-BET — strong spot
MP,1,75%,Wet,0.2754,C-BET — strong spot
BB,2,50%,Medium,0.2724,C-BET — strong spot
